"La regulación reglamentaria de los tributos propios de los municipios:", "Se tiene que hacer por medio de las ordenanzas fiscales que regulan los artículos 15 a 19 del Texto refundido de la Ley reguladora de las haciendas locales.", "Se tiene que hacer por medio de las ordenanzas locales que regula el artículo 49 de la Ley reguladora de las bases de régimen local.", "Se tiene que hacer por medio de las bases de ejecución de los presupuestos.", "Ninguna de las respuestas anteriores es correcta, pues los tributos propios municipales no pueden ser objeto de regulación reglamentaria local.", "a", "La regulación de los tributos propios municipales se realiza mediante ordenanzas fiscales, según los artículos 15 a 19 del Texto refundido de la Ley reguladora de las haciendas locales."
"De acuerdo con el artículo 59.1 del Texto refundido de la Ley reguladora de las haciendas locales, constituyen impuestos obligatorios, en el sentido de que se tienen que exigir en todo caso por los ayuntamientos:", "El impuesto sobre bienes inmuebles y el impuesto sobre vehículos de tracción mecánica.", "El impuesto sobre bienes inmuebles, el impuesto sobre actividades económicas y el impuesto sobre vehículos de tracción mecánica.", "El impuesto sobre bienes inmuebles, el impuesto sobre actividades económicas, el impuesto sobre vehículos de tracción mecánica y el impuesto sobre construcciones, instalaciones y obras.", "El impuesto sobre bienes inmuebles, el impuesto sobre actividades económicas, el impuesto sobre vehículos de tracción mecánica, el impuesto sobre construcciones, instalaciones y obras y el impuesto sobre el incremento de valor de los terrenos de naturaleza urbana.", "b", "El artículo 59.1 del Texto refundido de la Ley reguladora de las haciendas locales establece que los impuestos obligatorios son el impuesto sobre bienes inmuebles, el impuesto sobre actividades económicas y el impuesto sobre vehículos de tracción mecánica."
"De acuerdo con el artículo 15 en relación con el artículo 59 del Texto refundido de la Ley reguladora de las haciendas locales, en caso de que un ayuntamiento no apruebe ningún acuerdo de imposición ni ninguna ordenanza fiscal respecto de los impuestos propios del municipio:", "No puede exigir ninguno de estos impuestos.", "Tiene que exigir en todo caso el impuesto sobre bienes inmuebles y el impuesto sobre vehículos de tracción mecánica a partir de las cuantías máximas que establece el mismo Texto refundido de la Ley reguladora de las haciendas locales.", "Tiene que exigir en todo caso el impuesto sobre bienes inmuebles, el impuesto sobre actividades económicas y el impuesto sobre vehículos de tracción mecánica a partir de las cuantías mínimas que establece el mismo Texto refundido de la Ley reguladora de las haciendas locales.", "Ninguna de las respuestas anteriores es correcta.", "c", "El artículo 15 en relación con el artículo 59 establece que, en ausencia de acuerdo de imposición u ordenanza fiscal, los ayuntamientos deben exigir los impuestos obligatorios a partir de las cuantías mínimas."
"El establecimiento de los precios públicos por las entidades locales:", "Se tiene que hacer por el Pleno de la corporación, por medio de las ordenanzas fiscales que regulan los artículos 15 a 19 del Texto refundido de la Ley reguladora de las haciendas locales.", "Se tiene que hacer por el Pleno de la corporación, por medio de las bases de ejecución de los presupuestos.", "Se tiene que hacer por el presidente o la presidenta de la corporación, por medio de un decreto.", "Ninguna de las respuestas anteriores es correcta.", "b", "El establecimiento de precios públicos debe ser realizado por el Pleno de la corporación, según las bases de ejecución de los presupuestos."
"De acuerdo con el artículo 47 del Texto refundido de la Ley reguladora de las haciendas locales, la fijación de la cuantía concreta de un precio público establecido por la corporación local en razón de la prestación de un determinado servicio por un organismo autónomo local:", "Corresponde en todo caso al Pleno de la corporación.", "Se puede atribuir al presidente de la corporación.", "Se puede atribuir al mismo organismo autónomo.", "Se puede atribuir al mismo organismo autónomo, a menos que el precio que se prevea fijar no cubra el coste del servicio, en cuyo caso lo tiene que fijar el Pleno de la corporación.", "c", "El artículo 47 permite que la fijación de la cuantía de un precio público se atribuya al organismo autónomo, salvo que no cubra el coste del servicio, en cuyo caso corresponde al Pleno."
"De acuerdo con la Ley general tributaria y el Texto refundido de la Ley reguladora de las haciendas locales, son tributos locales:", "Los impuestos.", "Los impuestos y las tasas.", "Los impuestos, las tasas y las contribuciones especiales.", "Los impuestos, las tasas, las contribuciones especiales y los precios públicos.", "c", "Los tributos locales incluyen impuestos, tasas y contribuciones especiales, según la Ley general tributaria y el Texto refundido de la Ley reguladora de las haciendas locales."
"De acuerdo con la Ley general tributaria y el Texto refundido de la Ley reguladora de las haciendas locales, la prestación patrimonial que se pretenda exigir en razón de la utilización privativa o el aprovechamiento especial del dominio público local tiene que ser:", "Una tasa.", "Un precio público.", "Una prestación patrimonial pública no tributaria (tarifa).", "Una contribución especial.", "a", "La utilización privativa o el aprovechamiento especial del dominio público local debe ser gravada con una tasa, según la normativa."
"De acuerdo con la Ley general tributaria y el Texto refundido de la Ley reguladora de las haciendas locales, la prestación patrimonial que se pretenda exigir en razón de la prestación de un servicio público local en régimen de derecho administrativo a cargo de un organismo autónomo local, cuando este servicio sea imprescindible para la vida privada o social del usuario, tiene que ser:", "Una tasa.", "Una tasa, a menos que el servicio se preste también por el sector privado, en cuyo caso tiene que ser un precio público.", "Un precio público en todo caso.", "Una prestación patrimonial pública no tributaria (tarifa).", "a", "Cuando el servicio es imprescindible para la vida privada o social del usuario, debe ser gravado con una tasa, a menos que también se preste por el sector privado."
"De acuerdo con la Ley general tributaria y el Texto refundido de la Ley reguladora de las haciendas locales, la prestación patrimonial que se pretenda exigir en razón de la prestación de un servicio por parte de una entidad local en régimen de derecho administrativo, cuando este servicio no se preste por el sector privado, tiene que ser:", "Un precio público.", "Una tasa.", "Una tasa, a menos que el servicio no sea imprescindible para la vida privada o social del usuario, en cuyo caso tiene que ser un precio público.", "Una contribución especial.", "b", "Si el servicio no se presta por el sector privado y es en régimen de derecho administrativo, debe ser gravado con una tasa."
"De acuerdo con la Ley general tributaria, el Texto refundido de la Ley reguladora de las haciendas locales y la Ley de contratos del sector público, la prestación patrimonial que se pretenda exigir en razón de la prestación de un servicio público local a cargo de una sociedad mercantil local, cuando este servicio sea imprescindible para la vida privada o social del usuario, tiene que ser:", "Una contribución especial.", "Una tasa, a menos que el servicio se preste también por el sector privado, en cuyo caso tiene que ser un precio público.", "Un precio público en todo caso.", "Una prestación patrimonial pública no tributaria (tarifa).", "b", "Si el servicio es imprescindible y se presta por una sociedad mercantil local, debe ser gravado con una tasa, a menos que también se preste por el sector privado."
"De acuerdo con la Ley general tributaria, el Texto refundido de la Ley reguladora de las haciendas locales y la Ley de contratos del sector público, la prestación patrimonial que se pretenda exigir en razón de la prestación de un servicio público local a cargo de una sociedad concesionaria del servicio, cuando este servicio no se preste por el sector privado, tiene que ser:", "Una contribución especial.", "Una tasa, a menos que el servicio no sea imprescindible para la vida privada o social del usuario, en cuyo caso tiene que ser un precio público.", "Un precio público en todo caso.", "Una prestación patrimonial pública no tributaria (tarifa).", "b", "Si el servicio no se presta por el sector privado y es imprescindible, debe ser gravado con una tasa, a menos que no sea imprescindible, en cuyo caso sería un precio público."
"El texto refundido de la Ley reguladora de las Haciendas Locales se aprobó por el:","Real Decreto-ley 2/2004 de 15 de marzo","Real Decreto Legislativo 2/2014 de 5 de marzo","Real Decreto Legislativo 2/2004 de 5 de marzo","Decreto Ley 2/2004 de 15 de marzo","c","El texto refundido de la Ley reguladora de las Haciendas Locales se aprobó por el Real Decreto Legislativo 2/2004 de 5 de marzo."
"Las entidades locales, de acuerdo con lo previsto en la legislación del Estado y en las leyes que dicten las comunidades autónomas","Tienen autonomía para exigir tributos pero no para establecerlos","Tienen autonomía para establecer y exigir tributos","Tienen autonomía para establecer tributos pero su exigencia corresponde al órgano de recaudación competente de la respectiva comunidad autónoma","Tienen autonomía para establecer y exigir tasas y contribuciones especiales pero no impuestos","b","Las entidades locales, de acuerdo con lo previsto en la legislación del Estado y en las leyes que dicten las comunidades autónomas, tienen autonomía para establecer y exigir tributos."
"¿Cuál de entre las siguientes afirmaciones es correcta?","Las adquisiciones a títulos de herencia, legado o donación no constituyen ingresos de derecho privado de las entidades locales","Las adquisiciones a títulos de herencia, legado o donación constituyen ingresos de derecho privado de las entidades locales","Las adquisiciones a títulos de herencia, legado o donación constituyen ingresos de derecho público de las entidades locales","Las adquisiciones a títulos de herencia, legado o donación constituyen ingresos de derecho público o privado de las entidades locales, según la naturaleza público o privada del causante o donante","b","Las adquisiciones a títulos de herencia, legado o donación constituyen ingresos de derecho privado de las entidades locales."
