"Los actos de las entidades locales que atenten gravemente el interés general de España pueden ser suspendidos, previo requerimiento de anulación al presidente de la entidad, con la adopción de las medidas adecuadas para la protección del interés general mencionado:", "Por el delegado del Gobierno de España en el ámbito de la comunidad autónoma correspondiente.", "Por el presidente de la comunidad autónoma correspondiente, en nombre del rey.", "Por el Tribunal Constitucional.", "Por el Senado, por mayoría absoluta.", "a", "Según la normativa española, el delegado del Gobierno de España en la comunidad autónoma correspondiente tiene la competencia para suspender actos de entidades locales que atenten gravemente contra el interés general de España."
"Los actos de las entidades locales que atenten gravemente el interés general de las Illes Balears pueden ser suspendidos, previo requerimiento de anulación al presidente de la entidad, con la adopción de las medidas adecuadas para la protección del interés general mencionado:", "Por el Parlamento de las Illes Balears, por mayoría absoluta.", "Por el presidente de las Illes Balears.", "Por el presidente del consejo insular correspondiente.", "Ninguna de las respuestas anteriores es correcta.", "d", "No existe una disposición específica en el Estatuto de Autonomía de las Illes Balears que atribuya esta competencia a ninguna de las opciones mencionadas."
"La vulneración de la autonomía local constitucionalmente garantizada por leyes estatales o autonómicas:", "Sólo se puede declarar expresamente por el Tribunal Constitucional por la vía de la declaración de inconstitucionalidad de la ley de la cual se trate en cada caso.", "Sólo se puede declarar expresamente por el Tribunal Supremo por la vía del recurso de casación en defensa de la autonomía local.", "Se puede declarar expresamente por el Tribunal Constitucional por la vía del conflicto en defensa de la autonomía local, sin perjuicio de que, además, la ley de que se trate en cada caso pueda ser declarada inconstitucional por el mismo Tribunal Constitucional.", "Ninguna de las respuestas anteriores es correcta.", "c", "El Tribunal Constitucional puede declarar la vulneración de la autonomía local a través del conflicto en defensa de la autonomía local, y también puede declarar la inconstitucionalidad de la ley en cuestión."
"La resolución de los conflictos en defensa de la autonomía local en los que se aprecie la vulneración de la autonomía local constitucionalmente garantizada:", "Implica automáticamente la inconstitucionalidad de la ley estatal o autonómica determinante de la vulneración.", "Implica automáticamente la inconstitucionalidad de la ley o del reglamento estatal o autonómico determinante de la vulneración.", "No determina automáticamente la inconstitucionalidad de la ley estatal o autonómica determinante de la vulneración, sin perjuicio que se eleve al Pleno del Tribunal Constitucional la cuestión de inconstitucionalidad correspondiente.", "No determina automáticamente la inconstitucionalidad de la ley o del reglamento estatal o autonómico determinante de la vulneración, sin perjuicio que se eleve al Pleno del Tribunal Constitucional la cuestión de inconstitucionalidad correspondiente.", "d", "La resolución de conflictos en defensa de la autonomía local no implica automáticamente la inconstitucionalidad, pero puede derivar en una cuestión de inconstitucionalidad ante el Tribunal Constitucional."
"El envío periódico de las entidades locales a la Administración del Estado y a la Administración de la comunidad autónoma correspondiente de copias o extractos comprensivos de los actos y acuerdos adoptados por la entidad local, que regula el artículo 56 de la Ley reguladora de las bases de régimen local, se fundamenta, de acuerdo con la doctrina del Tribunal Constitucional a este respeto:", "En el control de legalidad que pueden ejercer las administraciones superiores (estatales y autonómicas) respecto de las administraciones inferiores (entidades locales).", "En el control de oportunidad que pueden ejercer las administraciones superiores (estatales y autonómicas) respecto de las administraciones inferiores (entidades locales).", "Las respuestas a) y b) son correctas.", "Ninguna de las respuestas anteriores es correcta.", "a", "El envío de copias o extractos se fundamenta en el control de legalidad, no en el control de oportunidad, según la doctrina del Tribunal Constitucional."
"El Reglamento de Bienes de las Entidades Locales fue aprobado por el","Real Decreto Legislativo 1372/1986 de 13 de junio","Real Decreto 1372/1986 de 3 de junio","Real Decreto 1372/1986 de 13 de junio","Real Decreto Legislativo 1372/1986 de 3 de junio","a","El Reglamento de Bienes de las Entidades Locales fue aprobado por el Real Decreto Legislativo 1372/1986 de 13 de junio, según la normativa vigente."
"Conforme el artículo 79 de la Ley 7/1985 de 2 de abril, reguladora de las Bases de Régimen Local, el patrimonio de las entidades locales está constituido","Por todos los bienes materiales e inmateriales de que sean titulares","Por el conjunto de bienes, derechos y acciones que les pertenezcan","Por el conjunto de bienes, derechos y acciones que posean","Por el conjunto de bienes inmuebles y derechos materiales que les pertenezcan","b","El artículo 79 de la Ley 7/1985 establece que el patrimonio de las entidades locales está constituido por el conjunto de bienes, derechos y acciones que les pertenezcan."
"Los bienes de las entidades locales se clasifican en:","Bienes demaniales, comunales y privados","Bienes de dominio público, bienes de dominio privado y bienes comunales","Bienes de uso público y bienes de uso privado","Bienes de dominio público y bienes patrimoniales","d","Los bienes de las entidades locales se clasifican en bienes de dominio público y bienes patrimoniales, según el artículo 3 del Reglamento de Bienes de las Entidades Locales."
"Los bienes de dominio público son:","Los destinados a un uso o servicio público","Los utilizados por el común de los vecinos","Los destinados a un servicio público","Los bienes patrimoniales, los destinados a un servicio público y los bienes comunales","a","Los bienes de dominio público son aquellos destinados a un uso o servicio público, conforme al artículo 3.1 del Reglamento de Bienes de las Entidades Locales."
"Aquellos bienes que siendo de dominio público, su aprovechamiento pertenece al común de los vecinos, tienen la consideración de:","Bienes de uso público vecinal","Bienes patrimoniales municipales","Bienes comunales","Bienes demaniales provativos","c","Los bienes comunales son aquellos cuyo aprovechamiento pertenece al común de los vecinos, según el artículo 3.2 del Reglamento de Bienes de las Entidades Locales."
"Las calles, paseos y parques, conforme el artículo 3.1 del Reglamento de Bienes son:","Bienes patrimoniales municipales","Bienes patrimoniales","Bienes de uso público local","Bienes de servicio público","c","Las calles, paseos y parques son considerados bienes de uso público local, según el artículo 3.1 del Reglamento de Bienes de las Entidades Locales."
