"De acuerdo con el art. 42 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la administración de la Comunidad Autónoma de las Illes Balears, adoptan la forma de acuerdo:", "Los actos dictados por los órganos colegiados, por el Gobierno y por las comisiones delegadas.", "Los actos dictados por el presidente, por los órganos colegiados, por el Gobierno y por las comisiones delegadas.", "Los actos dictados por el presidente y por los órganos colegiados.", "Los actos dictados por el presidente, por el vicepresidente, por el Gobierno y por las comisiones delegadas.", "b", "El artículo 42 de la Ley 3/2003 establece que adoptan la forma de acuerdo los actos dictados por el presidente, por los órganos colegiados, por el Gobierno y por las comisiones delegadas."
"Según el art. 53.1 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la administración de la Comunidad Autónoma de las Illes Balears, agotan la vía administrativa:", "Los acuerdos de las comisiones delegadas del Gobierno y las resoluciones de los consejeros, salvo que una ley establezca lo contrario.", "Los actos dictados por el presidente, por el Consejo de Gobierno y por los órganos directivos de las Consejerías.", "Los acuerdos de las comisiones delegadas del Gobierno y las resoluciones dictadas por los órganos directivos de las Consejerías.", "Los acuerdos de las comisiones delegadas del Gobierno y del Consejo de Gobierno, y las resoluciones dictadas por el presidente, los consejeros y los órganos directivos de las Consejerías.", "a", "El artículo 53.1 de la Ley 3/2003 establece que agotan la vía administrativa los acuerdos de las comisiones delegadas del Gobierno y las resoluciones de los consejeros, salvo que una ley establezca lo contrario."
"Según el art. 53.2 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la administración de la Comunidad Autónoma de las Illes Balears, en los entes que integran la administración instrumental agotan la vía administrativa:", "Los actos emanados de los órganos de dirección unipersonales o colegiados.", "Los actos emanados de los órganos de dirección unipersonales o colegiados, si así lo prevén sus estatutos o la norma de creación.", "Los actos emanados de los órganos de dirección unipersonales o colegiados y del personal directivo profesional.", "Los actos emanados de los órganos de dirección unipersonales o colegiados y del personal directivo profesional, si así lo prevén sus estatutos o la norma de creación.", "b", "El artículo 53.2 de la Ley 3/2003 establece que en los entes que integran la administración instrumental agotan la vía administrativa los actos emanados de los órganos de dirección unipersonales o colegiados, si así lo prevén sus estatutos o la norma de creación."
"Según el art. 58.1 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la administración de la Comunidad Autónoma de las Illes Balears, son susceptibles de recurso de alzada:", "Los actos de los órganos de la Administración de la comunidad autónoma que no agoten la vía administrativa.", "Los actos de los órganos de la Administración de la comunidad autónoma que no agoten la vía administrativa, así como los actos de trámite en los casos previstos en la normativa básica de procedimiento administrativo.", "Los actos de los órganos de la Administración de la comunidad autónoma que agoten la vía administrativa.", "Los actos de los órganos de la Administración de la comunidad autónoma que agoten la vía administrativa, así como los actos de trámite en los casos previstos en la normativa básica de procedimiento administrativo.", "b", "El artículo 58.1 de la Ley 3/2003 establece que son susceptibles de recurso de alzada los actos de los órganos de la Administración de la comunidad autónoma que no agoten la vía administrativa, así como los actos de trámite en los casos previstos en la normativa básica de procedimiento administrativo."
"Según el art. 58.2 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la administración de la Comunidad Autónoma de las Illes Balears, se entiende que el consejero es el órgano superior jerárquico:", "De los órganos unipersonales adscritos a la consejería.", "De los órganos directivos adscritos a la consejería.", "De los órganos y unidades administrativos que no dispongan de otro superior jerárquico.", "De los órganos directivos y de los órganos de dirección de los entes del sector público instrumental adscritos a la consejería.", "d", "El artículo 58.2 de la Ley 3/2003 establece que el consejero es el órgano superior jerárquico de los órganos directivos y de los órganos de dirección de los entes del sector público instrumental adscritos a la consejería."
"Según el art. 58.3 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la administración de la Comunidad Autónoma de las Illes Balears, se podrá interponer recurso de alzada ante el Consejo de Gobierno en relación a los actos dictados por:", "Las comisiones delegadas o por los consejeros.", "Las comisiones delegadas o por los consejeros, cuando una ley prevea que estos actos no agotan la vía administrativa.", "El presidente, las comisiones delegadas o por los consejeros.", "El presidente, las comisiones delegadas o por los consejeros, cuando una ley prevea que estos actos no agotan la vía administrativa.", "d", "El artículo 58.3 de la Ley 3/2003 establece que se podrá interponer recurso de alzada ante el Consejo de Gobierno en relación a los actos dictados por el presidente, las comisiones delegadas o por los consejeros, cuando una ley prevea que estos actos no agotan la vía administrativa."
"Según el art. 58.4 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la administración de la Comunidad Autónoma de las Illes Balears, los actos y las resoluciones de los órganos superiores de dirección de los entes que integran la administración instrumental de la comunidad autónoma, serán objeto de recurso de alzada:", "Ante el consejero titular de la consejería a la cual se hallen adscritos, siempre y cuando agoten la vía administrativa.", "Ante el consejero titular de la consejería a la cual se hallen adscritos, siempre y cuando no agoten la vía administrativa.", "Ante el Consejo de Dirección del ente, siempre y cuando agoten la vía administrativa.", "Ante el Consejo de Dirección del ente, siempre y cuando no agoten la vía administrativa.", "b", "El artículo 58.4 de la Ley 3/2003 establece que los actos y las resoluciones de los órganos superiores de dirección de los entes que integran la administración instrumental de la comunidad autónoma serán objeto de recurso de alzada ante el consejero titular de la consejería a la cual se hallen adscritos, siempre y cuando no agoten la vía administrativa."
"Según el art. 47 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la Administración de la Comunidad Autónoma de las Illes Balears, el cómputo del plazo establecido para resolver y notificar empezará a computarse:", "Desde la fecha de la solicitud.", "Desde la fecha de presentación de la solicitud en el registro.", "Desde la fecha de entrada en el registro del órgano competente para su tramitación.", "Desde la fecha de nombramiento del instructor.", "c", "El artículo 47 de la Ley 3/2003 establece que el plazo para resolver y notificar comienza a computarse desde la fecha de entrada en el registro del órgano competente para su tramitación."
"Según el art. 50.2 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la Administración de la Comunidad Autónoma de las Illes Balears, cuando las normas reguladoras de los procedimientos no fijen el plazo máximo para dictar y notificar la resolución expresa, éste será de:", "Tres meses.", "Seis meses.", "Un año.", "Un mes.", "b", "El artículo 50.2 de la Ley 3/2003 establece que, en ausencia de un plazo fijado por la norma reguladora, el plazo máximo para dictar y notificar la resolución expresa será de seis meses."
"Según el art. 50.3.a) de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la Administración de la Comunidad Autónoma de las Illes Balears, el plazo máximo para dictar y notificar la resolución expresa en los procedimientos sancionadores ordinarios respecto de los cuales la Comunidad Autónoma dispone de competencia normativa, es:", "De un año.", "De seis meses.", "De tres meses.", "De un mes.", "a", "El artículo 50.3.a) de la Ley 3/2003 establece que el plazo máximo para dictar y notificar la resolución expresa en procedimientos sancionadores ordinarios es de un año."
"Según el art. 50.3 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la Administración de la Comunidad Autónoma de las Illes Balears, el plazo máximo para dictar y notificar la resolución expresa en los procedimientos sancionadores abreviados respecto de los cuales la comunidad autónoma dispone de competencia normativa, es:", "De un año.", "De un año, salvo que la normativa procedimental de carácter específico fije un plazo superior.", "De seis meses.", "De seis meses, salvo que la normativa procedimental de carácter específico fije un plazo superior.", "d", "El artículo 50.3 de la Ley 3/2003 establece que el plazo máximo para dictar y notificar la resolución expresa en procedimientos sancionadores abreviados es de seis meses, salvo que la normativa procedimental de carácter específico fije un plazo superior."
"Indique cuál de las siguientes afirmaciones es incorrecta según el art. 50 de la Ley 3/2003, de 26 de marzo, de régimen jurídico de la Administración de la Comunidad Autónoma de las Illes Balears:", "El plazo máximo para dictar y notificar la resolución expresa en los procedimientos de competencia de la Comunidad Autónoma es el que fije la norma reguladora del procedimiento correspondiente, y en su defecto el plazo será de seis meses.", "El plazo máximo para dictar y notificar la resolución expresa en todos los procedimientos de competencia de la Comunidad Autónoma es de seis meses.", "El plazo máximo para dictar y notificar la resolución expresa en los procedimientos sancionadores ordinarios es de un año, salvo que la normativa procedimental de carácter específico establezca un plazo superior.", "El plazo máximo para dictar y notificar la resolución expresa en los procedimientos sancionadores abreviados es de seis meses, salvo que la normativa procedimental de carácter específico establezca un plazo superior.", "b", "El artículo 50 de la Ley 3/2003 establece que el plazo máximo para dictar y notificar la resolución expresa no es uniforme para todos los procedimientos, sino que depende de la norma reguladora del procedimiento correspondiente, por lo que la afirmación b) es incorrecta."
