"Indique la respuesta correcta en relación con los convenios. Según el artículo 47.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:","No pueden ser formalizados con sujetos de derecho privado.","No pueden tener efectos jurídicos frente a terceros.","Pueden tener prestaciones propias de los contratos.","No pueden tener prestaciones propias de los contratos.","c","El artículo 47.1 de la Ley 40/2015 establece que los convenios pueden incluir prestaciones propias de los contratos, siempre que se ajusten a la normativa aplicable."
"Los convenios suscritos entre organismos públicos y entidades de derecho público vinculados o dependientes de una misma administración pública son:","Convenios interadministrativos.","Convenios que pueden ser firmados además con un sujeto de derecho privado.","Convenios intraadministrativos.","Convenios entre la Administración de la Comunidad Autónoma y la Administración local.","c","Los convenios entre organismos públicos de una misma administración se denominan intraadministrativos, según la clasificación establecida en la normativa española."
"Según el artículo 48 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, la suscripción de convenios, entre otros:","Debe mejorar la eficiencia de la gestión económica.","Debe mejorar la eficiencia de la gestión pública, facilitar la utilización conjunta de medios y servicios públicos, y contribuir a la realización de actividades de utilidad pública.","Debe facilitar la utilización individual de medios y servicios públicos.","Debe contribuir a la realización de actividades de interés público.","b","El artículo 48 de la Ley 40/2015 establece que los convenios deben mejorar la eficiencia de la gestión pública, facilitar la utilización conjunta de medios y servicios públicos, y contribuir a actividades de utilidad pública."
"Señale la opción correcta. Las administraciones públicas deben respetar, en su actuación y relaciones los siguientes principios:","Servicio efectivo a los interesados.","Participación, subjetividad y transparencia de la actuación administrativa.","Responsabilidad por la gestión pública.","In dubio pro reo.","a","Las administraciones públicas deben garantizar un servicio efectivo a los interesados, según los principios de actuación administrativa establecidos en la normativa española."
"Señale la opción correcta en relación con los requisitos que se requieren para la creación de un órgano administrativo:","Determinación de su forma de integración en la sociedad.","Determinación de la independencia jerárquica.","Delimitación de algunas funciones y competencias y la dotación de las partidas presupuestarias necesarias para su puesta en marcha.","Determinación de su forma de integración en la Administración pública, determinación de su dependencia jerárquica y deslimitación de sus funciones, competencias y la dotación de los créditos necesarios para su puesta en marcha y funcionamiento.","d","La creación de un órgano administrativo requiere la determinación de su integración en la Administración, su dependencia jerárquica, funciones, competencias y dotación presupuestaria, según la normativa aplicable."
"En relación con la competencia de los órganos administrativos que la tienen atribuida como propia, es cierto:","Que la desconcentración no supone alteración alguna del ejercicio ni la titularidad.","Que la encomienda de gestión no puede tener por objeto prestaciones propias de los contratos ni de los convenios de colaboración.","Que la delegación de competencias, la delegación de firma y la suplencia no supongan alteración de la titularidad de la competencia.","Que la competencia es irrenunciable y la ejercen los órganos administrativos que la tienen atribuida por delegación.","c","La delegación de competencias, firma y suplencia no alteran la titularidad de la competencia, según lo establecido en la normativa administrativa."
"En relación con la avocación regulada en la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, es cierto:","Que contra el acuerdo motivado de avocación no se puede interponer recurso.","Que la avocación sólo se da entre órganos jerárquicamente dependientes.","Que la avocación es lo mismo que la delegación de competencias.","Que entre órganos no dependientes jerárquicamente la avocación puede realizarla, entre otros, el órgano delegante.","d","La avocación puede realizarse entre órganos no jerárquicamente dependientes, según el artículo 13 de la Ley 40/2015."
"Señale la respuesta incorrecta en relación con los órganos colegiados. De acuerdo con el artículo 17 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:","Se pueden constituir, convocar y celebrar las sesiones tanto de forma presencial como a distancia.","Deben adoptar acuerdos y remitir las actas de forma presencial.","En las sesiones que se celebren a distancia, sus miembros pueden encontrarse en diferentes lugares.","Para la válida constitución del órgano, se requiere la asistencia, presencial o a distancia, del presidente y el secretario, o de quienes les suplan y al menos de la mitad de sus miembros.","b","Los órganos colegiados pueden adoptar acuerdos y remitir actas tanto de forma presencial como a distancia, según el artículo 17 de la Ley 40/2015."
"¿Qué asuntos son objeto de deliberación y acuerdo de los órganos colegiados?","Sólo los asuntos que figuran en el orden del día.","Los asuntos que desee incluir el presidente o el secretario unilateralmente por su carácter urgente.","Los asuntos incluidos en el orden del día, salvo que asistan todos los miembros del órgano colegiado y sea declarada la urgencia de algún otro asunto por el voto favorable de la mayoría.","Los asuntos que decidan todos los miembros del órgano colegiado con el voto favorable de un tercio.","c","Los órganos colegiados pueden tratar asuntos no incluidos en el orden del día si asisten todos los miembros y se declara la urgencia por mayoría, según la normativa."
"Según lo dispuesto en el artículo 18 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, es cierto:","Que cuando los miembros del órgano voten en contra o se abstienen, quedan exentos de la responsabilidad que, en su caso, pueda derivarse de los acuerdos.","Que no se pueden grabar las sesiones que celebre el órgano colegiado.","Que de cada sesión que celebre el órgano colegiado el secretario debe extender un acta.","Que el acta de cada sesión debe aprobarse en la misma reunión o en la siguiente inmediata.","c","El artículo 18 de la Ley 40/2015 establece que el secretario debe extender un acta de cada sesión del órgano colegiado."
"Los órganos colegiados de la Administración General del Estado y de sus organismos públicos, por su composición, se clasifican:","En órganos colegiados ministeriales, si sus miembros proceden de distintos departamentos de cada ministerio.","En órganos colegiados intraestatales.","En órganos colegiados interministeriales, si sus miembros proceden de distintos ministerios.","En órganos colegiados colectivos.","c","Los órganos colegiados interministeriales están compuestos por miembros de distintos ministerios, según la normativa."
"¿Cómo pueden dirigir las actividades de sus órganos jerárquicamente dependientes los órganos administrativos, según el artículo 6 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público?","Mediante órdenes de servicio únicamente.","Mediante instrucciones y resoluciones únicamente.","Mediante comunicaciones, notas internas e instrucciones.","Mediante instrucciones y órdenes de servicio.","d","El artículo 6 de la Ley 40/2015 establece que los órganos administrativos pueden dirigir las actividades de sus dependientes mediante instrucciones y órdenes de servicio."
"De acuerdo con el artículo 6 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, el incumplimiento de las instrucciones u órdenes de servicio:","No afecta por sí solo a la validez de los actos dictados por los órganos administrativos.","Afecta por sí solo a la validez de los actos dictados por los órganos administrativos.","Afecta por sí solo a la validez de los actos dictados por los órganos directivos.","Ninguna de las respuestas anteriores es correcta.","a","El incumplimiento de instrucciones u órdenes de servicio no afecta por sí solo a la validez de los actos, según el artículo 6 de la Ley 40/2015."
"Si una disposición atribuye la competencia a una administración, sin especificar el órgano que deba ejercerla, se entiende que la facultad de instruir y resolver los expedientes corresponde a los siguientes órganos:","A los inferiores por razón de la materia o territorio.","A los superiores competentes por razón de la materia y del territorio.","A los que establezca el órgano superior competente por razón de la materia y del territorio.","A los inferiores competentes por razón de la materia y del territorio.","b","Cuando no se especifica el órgano competente, la facultad de instruir y resolver corresponde a los superiores por razón de la materia y del territorio, según la normativa."
"De acuerdo con el artículo 55.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, la Administración General del Estado comprende:","La organización central, compuesta por los ministerios y servicios independientes.","La organización central que integra los ministerios y servicios comunes, la organización territorial y la Administración General del Estado en el exterior.","La organización territorial e insular.","La Administración General del Estado en las comunidades autónomas.","b","El artículo 55.2 de la Ley 40/2015 establece que la Administración General del Estado incluye la organización central, territorial y la Administración en el exterior."
"¿Dónde se determinan los respectivos órganos directivos de los organismos públicos?","En los estatutos de autonomía.","En la respectiva orden de creación.","En los estatutos de los organismos.","En los reglamentos de desarrollo.","c","Los órganos directivos de los organismos públicos se determinan en sus estatutos, según la normativa aplicable."
"Como norma general, ¿dónde tienen su sede las delegaciones de Gobierno?","Donde especifiquen los estatutos de autonomía de cada comunidad autónoma.","Donde decida el Consejo de Ministros.","En la localidad donde radique la asamblea legislativa de la comunidad autónoma.","En la localidad donde radique el Consejo de Gobierno de la comunidad autónoma.","d","Las delegaciones de Gobierno tienen su sede en la localidad donde radique el Consejo de Gobierno de la comunidad autónoma, según la normativa."
"Las administraciones públicas que establezcan medidas que limiten el ejercicio de derechos individuales o colectivos o exijan el cumplimiento de requisitos para el desarrollo de una actividad, deben aplicar el principio:","De proporcionalidad y elegir la medida menos restrictiva.","De reciprocidad y elegir la medida menos limitativa.","De racionalidad y elegir la medida que asegure su cumplimiento.","De la medida proporcionada, racional y menos restrictiva.","a","Las administraciones deben aplicar el principio de proporcionalidad y elegir la medida menos restrictiva, según la normativa."
"Los miembros del órgano colegiado deben recibir la convocatoria contenida en el orden del día de las reuniones con una antelación mínima:","De cuatro días. La información sobre los temas que figuren en el orden del día estará a disposición de los miembros en un plazo superior.","De tres días. La información sobre los temas que figuren en el orden del día estará a disposición de los miembros en un plazo inferior.","De dos días. La información sobre los temas que figuren en el orden del día estará a disposición de los miembros en el mismo plazo.","De setenta y dos horas. La información sobre los temas que figuren en el orden del día estará a disposición de los miembros en el mismo plazo.","d","Los miembros del órgano colegiado deben recibir la convocatoria con al menos 72 horas de antelación, según el artículo 17 de la Ley 40/2015."
"No pueden abstenerse en las votaciones quienes, por su calidad de autoridades o personal al servicio de las administraciones públicas, tienen la condición:","De miembros de distintos órganos colegiados.","De altos cargos de órganos colegiados.","De secretario del órgano colegiado.","De miembros natos de órganos colegiados.","d","Los miembros natos de órganos colegiados no pueden abstenerse en las votaciones, según la normativa."
