"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, las normas especiales reguladoras de las ayudas al exterior:","Tienen que aprobarse por ley del parlamento.","Tienen que aprobarse por resolución del Consejero competente en materia de Hacienda y Presupuestos","Tienen que aprobarse por decreto del Consejo de Gobierno.","No se regulan las ayudas al exterior en el Decreto Legislativo 2/2005.","c","El artículo 4.2 del Decreto Legislativo 2/2005 establece que las normas especiales de ayudas al exterior deben aprobarse por decreto del Consejo de Gobierno."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, tienen que aprobarse uno o diversos planes estratégicos de subvenciones:","Por acuerdo del Consejo de Gobierno, a propuesta del Consejero competente en materia de Hacienda y Presupuestos.","Por resolución del Consejero competente en materia de Hacienda y Presupuestos.","Por acuerdo del Consejo de Gobierno, a propuesta de cada uno de los Consejeros para cada consejería.","Por resolución de cada uno de los Consejeros para cada consejería.","a","El artículo 5 del Decreto Legislativo 2/2005 establece que los planes estratégicos de subvenciones deben aprobarse por acuerdo del Consejo de Gobierno, a propuesta del Consejero competente en materia de Hacienda y Presupuestos."
"Señala cual de las siguientes respuestas no es una obligación a concretar en los planes estratégicos de subvenciones, de acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre:","El alcance temporal.","Los objetivos y los efectos que se pretenden","Su plazo de consecución.","Sus coste exacto de aprobación y sus fuentes de financiación.","d","El artículo 5 del Decreto Legislativo 2/2005 no menciona el coste exacto de aprobación y las fuentes de financiación como obligación a concretar en los planes estratégicos."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, cuál de las siguientes casos supone una excepción a los principios de publicidad y concurrencia:","Cuando por las características especiales del beneficiario o de la actividad subvencionada, no sea posible, objetivamente, promover su concurrencia pública.","Cuando las subvenciones tengan asignación no nominativa en los presupuestos del ente público concedente.","Cuando la concesión o la cuantía de las subvenciones venga impuesta por un reglamento.","Cuando así lo considere el órgano concedente a pesar de que sea posible promover su concurrencia pública.","a","El artículo 7 del Decreto Legislativo 2/2005 establece que la excepción a los principios de publicidad y concurrencia se aplica cuando no sea posible, objetivamente, promover la concurrencia pública."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, ¿cuáles son órganos competentes para la concesión de subvenciones?","En las consejerías y en sus entidades de derecho público dependientes, el titular de la consejería correspondiente o el órgano que determinen las bases reguladoras","En las consejerías, el órgano directivo competente.","El Consejo de Gobierno en las consejerías y el consejero competente en las entidades de derecho público dependientes.","En las entidades de derecho público dependientes, los órganos de dirección de estas entidades.","a","El artículo 9 del Decreto Legislativo 2/2005 establece que en las consejerías y sus entidades dependientes, el titular de la consejería o el órgano que determinen las bases reguladoras son competentes para la concesión de subvenciones."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, el acto de concesión:","Lleva implícita la aprobación del gasto correspondiente.","Lleva implícita la aprobación y disposición del gasto correspondiente.","Lleva implícita la disposición pero no la aprobación del gasto correspondiente.","No lleva implícita ninguna fase del procedimiento de gestión de gasto del presupuesto.","a","El artículo 10 del Decreto Legislativo 2/2005 establece que el acto de concesión lleva implícita la aprobación del gasto correspondiente."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, ¿cuál de las siguientes circunstancias supone una prohibición para ser beneficiario?","Haber sido condenadas mediante sentencia, sea firme o no, a la pena de pérdida de la posibilidad de obtener subvenciones o ayudas públicas.","Haber sido inhabilitados de acuerdo con la Ley concursal y que haya concluido el periodo de inhabilitación fijado en la sentencia de calificación del concurso.","No estar al corriente de pago de obligaciones por reintegro de subvenciones en los términos que se determinen por reglamento.","Haber dado lugar, por una causa de la que hayan sido declaradas culpables, a la resolución provisional de cualquier contrato subscrito con la administración.","c","El artículo 11 del Decreto Legislativo 2/2005 establece que no estar al corriente de pago de obligaciones por reintegro de subvenciones es una prohibición para ser beneficiario."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, no puede iniciarse el procedimiento de concesión de subvenciones:","Sin que el Consejo de Gobierno haya establecido previamente por decreto, en uso de su potestad reglamentaria, las bases reguladoras correspondientes.","Sin que el consejero competente haya establecido previamente por orden, en uso de su potestad reglamentaria, las bases reguladoras correspondientes.","Sin que el consejero competente en materia de Hacienda y Presupuestos haya establecido previamente por orden, en uso de su potestad reglamentaria, las bases reguladoras correspondientes.","Sin que el director general competente haya establecido previamente por orden, en uso de su potestad reglamentaria, las bases reguladoras correspondientes.","a","El artículo 12 del Decreto Legislativo 2/2005 establece que no puede iniciarse el procedimiento de concesión de subvenciones sin que el Consejo de Gobierno haya establecido previamente las bases reguladoras por decreto."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, ¿en qué supuestos puede iniciarse el procedimiento de subvención sin establecer bases reguladoras?","Cuando los beneficiarios sean Entidades Locales y la entidad concedente el Estado.","Cuando las subvenciones deriven de convenios formalizados entre Administraciones Públicas o entidades de derecho público dependientes, con la finalidad de regular el otorgamiento de subvenciones a favor de terceras personas.","Cuando la convocatoria así lo establezca.","No existen supuestos que exceptúen el establecimiento de bases reguladoras.","b","El artículo 22.2 del Decreto Legislativo 2/2005 establece que no será necesaria la aprobación de bases reguladoras cuando las subvenciones deriven de convenios formalizados entre Administraciones Públicas o entidades de derecho público dependientes, con la finalidad de regular el otorgamiento de subvenciones a favor de terceras personas."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, el texto de la convocatoria:","Solo se publicará en la Base de Datos Nacional de Subvenciones (BDNS).","Solo se publicará en el «Butlletí Oficial de les Illes Balears».","Se publicará en la Base de Datos Nacional de Subvenciones (BDNS) y se comunicará al «Butlletí Oficial de les Illes Balears».","Se comunicará a la Base de Datos Nacional de Subvenciones (BDNS) y se publicará en el «Butlletí Oficial de les Illes Balears».","d","El artículo 23.1 del Decreto Legislativo 2/2005 establece que el texto de la convocatoria se comunicará a la Base de Datos Nacional de Subvenciones (BDNS) y se publicará en el «Butlletí Oficial de les Illes Balears»."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, la convocatoria de una subvención no tendrá necesariamente el siguiente contenido:","Los requisitos generales que deben cumplir los beneficiarios de la subvención, la forma de acreditarlos y, si procede, el período durante el cual deben mantenerse.","El importe máximo que se destina a la convocatoria.","La documentación necesaria para la justificación del cumplimiento de la finalidad de la subvención.","El importe de las subvenciones, o la forma de determinarlo.","c","El artículo 23.2 del Decreto Legislativo 2/2005 establece que la convocatoria de una subvención no tendrá necesariamente el contenido de la documentación necesaria para la justificación del cumplimiento de la finalidad de la subvención."
